"","Cluster.1","Cluster.2","Cluster.3","Cluster.4","Cluster.1.1","Cluster.2.1","Cluster.3.1","Cluster.4.1","Cluster.5","Cluster.6","Cluster.7","Cluster.8","Cluster.9","Cluster.10","Cluster.11","Cluster.12","Cluster.1.2","Cluster.2.2","Cluster.3.2","Cluster.4.2","Cluster.5.1","Cluster.6.1","Cluster.7.1","Cluster.8.1","Cluster.9.1","Cluster.10.1","Cluster.11.1","Cluster.12.1","Cluster.13","Cluster.14","Cluster.15","Cluster.16","Cluster.17","Cluster.18","Cluster.19","Cluster.20","Cluster.21","Cluster.22","Cluster.23","Cluster.24","Cluster.25","Cluster.26","Cluster.27"
"109ST-1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.990981669215833,0,0.00901833078417253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13ER-3795",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13ER-4703",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.840850567721398,0.159149432278603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13ER-5169",0,1,0,0,0,0,0,1.15587497096445e-07,0.999999884412503,0,0,0,0,0,0,0,0,0,0,0,0.999999999675076,4.59780758132315e-14,0,3.2487865803282e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14ER-1012",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30223478300749e-06,0.999997697765217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14ER-2496",0,1,0,0,0,0,0,1.15587497096445e-07,0.999999884412503,0,0,0,0,0,0,0,0,0,0,0,0.999999999675076,4.59780758132315e-14,0,3.2487865803282e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14ER-2816",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999787,0,0,0,0,0,0,0,0,0,2.07196087546592e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14ER-2831",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.69712258338837e-15,1,0,0,0,0,0,0,1.24534172819506e-15,0,0,0,0,0,0,0,0,0,0
"14ER-3009",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.840850567721398,0.159149432278603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14ER-98",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
